game,ply,move,color,destination_square,pitch_hz,pitch_midi,harmonic_richness,partial_hz,partial_midi,harmony_hz,harmony_midi,harmony_interval_ratio,attack_influence_balance,is_capture,is_check,dynamics_label,loudness
scholars_mate,1,e2e4,white,e4,804.55,79.45,1,804.55,79.45,1137.80,85.45,1.4142,40.000,False,False,,0.50
scholars_mate,2,e7e5,black,e5,1082.84,84.59,3,1082.84;2165.69;3248.53,84.59;96.59;103.61,1082.84,84.59,1.0000,0.000,False,False,tense,0.75
scholars_mate,3,d1h5,white,h5,1443.79,89.57,1,1443.79,89.57,2041.83,95.57,1.4142,54.000,False,False,tense,0.75
scholars_mate,4,b8c6,black,c6,1214.50,86.58,3,1214.50;2429.00;3643.50,86.58;98.58;105.60,1717.56,92.58,1.4142,34.000,False,False,active,0.55
scholars_mate,5,f1c4,white,c4,670.46,76.29,1,670.46,76.29,948.17,82.29,1.4142,47.000,False,False,active,0.55
scholars_mate,6,g8f6,black,f6,1619.33,91.56,3,1619.33;3238.66;4857.99,91.56;103.56;110.58,2290.08,97.56,1.4142,45.000,False,False,active,0.55
scholars_mate,7,h5f7,white,f7,2179.46,96.70,1,2179.46,96.70,3082.22,102.70,1.4142,29.000,True,True,tense,0.75
fastest_stalemate,1,e2e3,white,e3,597.78,74.31,1,597.78,74.31,845.39,80.31,1.4142,40.000,False,False,,0.50
fastest_stalemate,2,a7a5,black,a5,721.90,77.57,3,721.90;1443.79;2165.69,77.57;89.57;96.59,1020.91,83.57,1.4142,30.000,False,False,active,0.55
fastest_stalemate,3,d1h5,white,h5,1443.79,89.57,1,1443.79,89.57,2041.83,95.57,1.4142,120.000,False,False,chaotic,0.95
fastest_stalemate,4,a8a6,black,a6,971.60,82.71,3,971.60;1943.20;2914.80,82.71;94.71;101.73,1374.05,88.71,1.4142,90.000,False,False,active,0.55
fastest_stalemate,5,h5a5,white,a5,721.90,77.57,1,721.90,77.57,1020.91,83.57,1.4142,73.000,True,False,active,0.55
